Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,GDP,Status,Status_Encoded
Single,1st phase - special contingent (Azores Island),5,Tourism,Daytime,Secondary education,122,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",119,Yes,No,Yes,Female,Yes,19,6,6,6,12,0,0,6,6,6,12,0,1,Un-Dropout,1
Single,2nd phase - general contingent,2,Basic Education,Daytime,Secondary education,123,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Unskilled Workers,116,Yes,No,Yes,Female,No,19,6,8,5,13,0,0,6,8,4,10,0,-3,Un-Dropout,1
Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,146,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",126,No,No,Yes,Female,No,19,5,7,3,12,0,0,5,7,4,10,0,0,Un-Dropout,1
Single,1st phase - general contingent,4,Journalism and Communication,Daytime,Secondary education,137,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Student,Other Situation,134,Yes,No,Yes,Female,No,18,6,6,6,13,0,0,6,8,5,14,0,1,Dropout,0
Single,1st phase - general contingent,1,Management,Daytime,Secondary education,130,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,123,No,No,Yes,Female,Yes,18,5,7,5,13,0,0,5,6,5,13,0,-1,Un-Dropout,1
Single,1st phase - general contingent,2,Veterinary Nursing,Daytime,Secondary education,127,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",123,Yes,No,Yes,Female,No,18,5,9,4,13,0,0,5,8,5,13,0,1,Un-Dropout,1
Married,Over 23 years old,1,Oral Hygiene,Daytime,Secondary education,160,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",120,No,No,Yes,Female,No,31,7,21,5,10,3,0,8,21,3,11,1,-1,Dropout,0
Single,Transfer,1,Management,Daytime,Secondary education,139,Higher Education - Degree,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,"Personal Services, Security and Safety Workers and Sellers",112,Yes,No,Yes,Female,No,19,5,8,2,11,0,0,5,10,3,10,0,1,Un-Dropout,1
Single,1st phase - special contingent (Madeira Island),1,Veterinary Nursing,Daytime,Secondary education,138,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,123,Yes,No,Yes,Female,Yes,20,6,7,6,15,0,0,6,6,6,16,0,0,Un-Dropout,1
Single,2nd phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,137,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Student,Other Situation,122,No,No,Yes,Female,Yes,19,5,5,5,12,0,0,5,9,3,13,0,0,Dropout,0
Single,2nd phase - general contingent,1,Social Service,Daytime,Secondary education,127,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",122,No,No,Yes,Female,Yes,19,6,8,6,14,0,0,6,7,6,14,0,0,Un-Dropout,1
Facto Union,Holders of other higher courses,1,Equinculture,Daytime,Higher education - degree,160,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",160,No,No,No,Female,No,27,5,8,3,14,2,0,5,7,2,13,2,1,Dropout,0
Single,2nd phase - general contingent,2,Journalism and Communication,Daytime,Secondary education,132,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",120,Yes,No,Yes,Female,Yes,18,6,6,6,13,0,0,6,6,6,14,0,3,Un-Dropout,1
Single,1st phase - general contingent,1,Social Service (evening attendance),Evening,Secondary education,126,Unknown,Unknown,Student,Student,142,No,No,Yes,Female,No,32,6,0,0,0,0,0,6,0,0,0,0,0,Dropout,0
Single,1st phase - general contingent,4,Nursing,Daytime,Secondary education,133,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,"Skilled Workers in Industry, Construction and Craftsmen",127,Yes,No,Yes,Female,No,18,8,8,7,12,0,0,8,8,7,12,0,-1,Un-Dropout,1
Single,1st phase - general contingent,3,Nursing,Daytime,Secondary education,140,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,125,Yes,No,Yes,Female,Yes,19,8,8,7,14,0,0,8,8,7,14,0,1,Un-Dropout,1
Single,1st phase - general contingent,2,Journalism and Communication,Daytime,Secondary education,130,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",137,No,No,Yes,Female,No,19,6,6,6,15,0,0,6,7,6,14,0,-4,Un-Dropout,1
Single,2nd phase - general contingent,2,Tourism,Daytime,Secondary education,129,Other - 11th Year of Schooling,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,122,Yes,No,Yes,Female,No,18,6,15,2,10,0,0,6,12,0,0,0,1,Dropout,0
Single,2nd phase - general contingent,3,Advertising and Marketing Management,Daytime,Secondary education,110,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,107,Yes,No,Yes,Female,Yes,18,6,11,4,12,0,0,6,10,4,11,0,-1,Dropout,0
Single,Over 23 years old,1,Journalism and Communication,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled construction workers and the like, except electricians","Farmers, livestock keepers, fishermen, hunters and gatherers, subsistence",104,No,Yes,No,Female,Yes,24,6,6,6,13,0,0,6,6,6,13,0,2,Un-Dropout,1
Single,2nd phase - general contingent,2,Social Service,Daytime,Secondary education,132,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",133,Yes,No,Yes,Female,Yes,19,6,8,5,12,0,0,6,7,6,11,0,-3,Un-Dropout,1
Single,2nd phase - general contingent,2,Tourism,Daytime,Secondary education,115,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",113,Yes,Yes,Yes,Female,No,21,6,0,0,0,0,0,6,0,0,0,0,2,Dropout,0
Single,Technological specialization diploma holders,1,Communication Design,Daytime,Technological specialization course,130,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Armed Forces Professions,130,Yes,No,Yes,Female,No,19,7,11,6,12,0,5,9,9,8,12,0,0,Un-Dropout,1
Single,1st phase - general contingent,3,Nursing,Daytime,Secondary education,140,Higher Education - Bachelor's Degree,Higher Education - Degree,"Personal Services, Security and Safety Workers and Sellers",Specialists in Intellectual and Scientific Activities,124,Yes,No,Yes,Female,No,19,7,9,5,12,0,0,7,9,5,11,0,1,Un-Dropout,1
Single,Over 23 years old,1,Oral Hygiene,Daytime,Secondary education,140,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,105,Yes,No,Yes,Female,Yes,36,7,11,6,12,0,0,7,12,5,12,0,3,Un-Dropout,1
Single,Over 23 years old,1,Veterinary Nursing,Daytime,Other - 11th year of schooling,133,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Armed Forces Professions,Unskilled Workers,144,No,No,Yes,Male,No,51,6,0,0,0,0,0,6,0,0,0,0,1,Dropout,0
Single,1st phase - general contingent,3,Advertising and Marketing Management,Daytime,Secondary education,121,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",111,Yes,No,Yes,Male,Yes,20,6,7,6,11,0,0,6,10,4,10,0,1,Un-Dropout,1
Single,Over 23 years old,1,Social Service (evening attendance),Evening,Basic education 2nd cycle (6th/7th/8th year) or equiv.,133,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,107,No,Yes,No,Male,No,29,6,6,0,0,0,0,5,5,0,0,0,3,Dropout,0
Single,Technological specialization diploma holders,1,Social Service,Daytime,Technological specialization course,130,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",127,No,Yes,No,Male,No,27,6,8,5,11,0,2,6,9,5,12,0,0,Dropout,0
Single,Over 23 years old,1,Informatics Engineering,Daytime,Secondary education,130,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Administrative staff,149,Yes,No,Yes,Male,No,33,5,10,4,12,0,0,5,8,3,13,1,0,Un-Dropout,1
Married,Ordinance No. 612/93,1,Management,Daytime,Higher education - bachelor's degree,120,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,120,No,No,No,Male,No,57,15,17,12,11,0,9,14,16,9,12,0,-3,Dropout,0
Single,1st phase - general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,132,Higher Education - Master's,Higher Education - Bachelor's Degree,teachers,Directors of administrative and commercial services,143,Yes,No,Yes,Male,No,20,6,8,5,12,0,0,6,10,5,11,0,0,Un-Dropout,1
Single,Over 23 years old,1,Advertising and Marketing Management,Daytime,Secondary education,100,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,120,No,No,Yes,Male,No,26,5,7,3,11,0,0,5,7,3,13,0,-3,Dropout,0
Single,Change of course,1,Informatics Engineering,Daytime,Secondary education,130,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Specialists in Intellectual and Scientific Activities,128,No,Yes,No,Male,No,27,5,5,0,0,0,0,5,7,0,0,0,0,Un-Dropout,1
Single,1st phase - general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,129,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,118,No,No,Yes,Male,No,19,5,5,5,10,0,0,5,5,4,12,0,-3,Un-Dropout,1
Single,Technological specialization diploma holders,1,Veterinary Nursing,Daytime,Technological specialization course,160,Other - 11th Year of Schooling,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Installation and Machine Operators and Assembly Workers,160,Yes,No,Yes,Male,No,23,6,10,5,12,0,1,6,8,2,13,0,1,Dropout,0
Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,120,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",152,No,No,Yes,Male,No,27,5,5,5,15,0,0,5,6,5,14,0,1,Un-Dropout,1
Single,1st phase - general contingent,6,Nursing,Daytime,Secondary education,122,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",116,Yes,Yes,Yes,Male,Yes,20,7,7,7,13,0,0,8,8,8,12,0,1,Un-Dropout,1
Single,3rd phase - general contingent,1,Communication Design,Daytime,Secondary education,143,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",141,No,No,Yes,Female,Yes,19,12,12,11,13,0,5,11,12,11,12,0,1,Un-Dropout,1
Single,1st phase - general contingent,1,Equinculture,Daytime,Secondary education,110,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Unskilled Workers,105,Yes,Yes,No,Female,No,19,6,0,0,0,0,0,6,0,0,0,0,2,Dropout,0
Single,1st phase - general contingent,1,Communication Design,Daytime,Secondary education,124,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,116,Yes,No,Yes,Female,No,20,6,8,5,12,0,0,6,6,6,11,0,0,Un-Dropout,1
Married,Holders of other higher courses,1,Management,Daytime,Higher education - degree,110,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,110,No,No,Yes,Female,No,33,8,10,6,12,0,2,5,8,4,12,0,2,Un-Dropout,1
Single,Change of course,1,Management (evening attendance),Evening,Secondary education,130,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,119,Yes,No,Yes,Female,No,22,15,17,15,11,0,9,14,15,14,12,0,0,Un-Dropout,1
Single,1st phase - general contingent,6,Management,Daytime,Secondary education,139,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Other - 11th Year of Schooling,Administrative staff,Administrative staff,125,Yes,No,Yes,Female,No,18,5,8,3,12,0,0,5,7,4,12,0,0,Un-Dropout,1
Facto Union,Over 23 years old,1,Nursing,Daytime,Higher education - degree,140,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,160,No,No,Yes,Female,No,27,8,8,7,15,0,0,8,8,7,15,0,-1,Un-Dropout,1
Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,150,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",150,No,No,Yes,Female,No,27,5,0,0,0,0,0,5,0,0,0,0,-4,Dropout,0
Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,123,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,115,Yes,No,Yes,Female,No,19,6,10,4,10,0,0,6,8,6,10,0,2,Un-Dropout,1
Single,2nd phase - general contingent,1,Basic Education,Daytime,Secondary education,128,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",128,Yes,No,Yes,Female,Yes,20,6,10,5,13,0,0,6,12,5,12,0,-3,Un-Dropout,1
Single,1st phase - general contingent,1,Social Service (evening attendance),Evening,Secondary education,100,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Armed Forces Professions,112,No,No,Yes,Female,Yes,23,6,6,6,14,0,0,6,6,6,12,0,-1,Un-Dropout,1
Single,Change of course,1,Nursing,Daytime,Secondary education,148,9th Year of Schooling - Not Completed,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Other Situation,Intermediate Level Technicians and Professions,131,Yes,No,Yes,Female,Yes,22,23,23,20,14,3,18,23,23,20,14,3,0,Un-Dropout,1
Single,2nd phase - general contingent,2,Tourism,Daytime,Secondary education,130,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",121,Yes,No,Yes,Female,Yes,18,6,9,1,10,1,0,6,6,0,0,0,-1,Dropout,0
Single,1st phase - general contingent,4,Social Service,Daytime,Secondary education,118,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,110,No,No,Yes,Female,Yes,18,6,7,6,12,0,0,6,8,6,11,0,1,Un-Dropout,1
Single,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,120,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,148,No,No,Yes,Female,Yes,31,6,6,6,14,0,0,6,6,6,12,0,1,Un-Dropout,1
Single,2nd phase - general contingent,4,Journalism and Communication,Daytime,Secondary education,119,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,118,No,No,Yes,Female,No,19,6,8,4,11,0,0,6,0,0,0,0,-4,Dropout,0
Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,138,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,135,Yes,No,Yes,Female,No,19,6,11,5,11,0,0,6,11,6,11,0,0,Un-Dropout,1
Single,2nd phase - general contingent,1,Social Service (evening attendance),Evening,Secondary education,127,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",115,No,No,Yes,Female,No,24,6,12,1,12,0,0,6,12,0,0,0,1,Dropout,0
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,134,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Armed Forces Professions,121,No,No,Yes,Female,No,19,7,10,7,13,0,0,8,8,8,13,0,-4,Un-Dropout,1
Single,2nd phase - general contingent,4,Management,Daytime,Secondary education,133,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",136,Yes,No,Yes,Female,No,19,5,6,5,12,0,0,5,5,5,12,0,0,Un-Dropout,1
Single,Over 23 years old,1,Advertising and Marketing Management,Daytime,Secondary education,133,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,100,Yes,No,No,Female,No,26,6,9,3,11,0,0,6,11,4,11,3,0,Dropout,0
Single,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,180,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,152,Yes,Yes,No,Male,No,27,0,0,0,0,0,0,0,0,0,0,0,0,Dropout,0
Single,2nd phase - general contingent,4,Social Service,Daytime,Secondary education,129,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",123,Yes,No,Yes,Female,No,19,6,7,6,12,0,0,6,7,6,12,0,2,Un-Dropout,1
Married,Over 23 years old,1,Veterinary Nursing,Daytime,Secondary education,120,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Administrative staff,130,No,No,Yes,Female,No,29,5,8,5,15,2,0,5,6,5,15,0,-3,Dropout,0
Single,1st phase - general contingent,6,Nursing,Daytime,Secondary education,141,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",125,Yes,No,Yes,Female,Yes,18,8,8,8,12,0,0,8,8,8,12,0,-3,Un-Dropout,1
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,118,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Armed Forces Professions,113,Yes,No,Yes,Female,No,19,7,7,7,13,0,0,8,8,8,14,0,2,Un-Dropout,1
Single,1st phase - general contingent,5,Journalism and Communication,Daytime,Secondary education,127,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",121,Yes,No,Yes,Female,No,18,6,6,6,13,0,0,6,6,6,12,0,-4,Un-Dropout,1
Single,1st phase - general contingent,1,Management,Daytime,Secondary education,177,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,162,No,No,Yes,Female,Yes,18,5,6,5,16,0,0,5,5,5,15,0,-4,Un-Dropout,1
Single,Transfer,1,Animation and Multimedia Design,Daytime,Secondary education,132,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Administrative staff,132,Yes,No,Yes,Female,No,19,0,0,0,0,0,0,0,0,0,0,0,-1,Dropout,0
Single,2nd phase - general contingent,4,Nursing,Daytime,Secondary education,133,Higher Education - Master's,Higher Education - Master's,Administrative staff,Administrative staff,130,Yes,No,Yes,Female,No,19,7,7,7,14,0,0,8,9,8,15,0,1,Un-Dropout,1
Single,2nd phase - general contingent,4,Tourism,Daytime,Secondary education,124,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,122,Yes,No,Yes,Female,No,19,6,7,6,11,0,0,6,6,6,12,0,0,Dropout,0
Single,1st phase - general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,143,Higher Education - Degree,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Unskilled Workers,144,Yes,No,Yes,Female,No,19,6,7,5,12,0,0,6,10,5,12,0,1,Un-Dropout,1
Single,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,128,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",118,No,No,Yes,Female,No,19,6,6,6,11,0,0,6,6,6,11,0,-1,Un-Dropout,1
Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,138,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,133,No,No,Yes,Female,Yes,19,6,6,6,15,0,0,6,6,6,13,0,3,Un-Dropout,1
Single,1st phase - general contingent,5,Nursing,Daytime,Secondary education,144,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,126,Yes,Yes,No,Female,No,18,7,0,0,0,0,0,8,0,0,0,0,-3,Dropout,0
Single,1st phase - general contingent,4,Journalism and Communication,Daytime,Secondary education,122,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",121,Yes,No,Yes,Female,No,20,6,7,6,13,0,0,6,6,6,13,0,0,Un-Dropout,1
Single,2nd phase - general contingent,1,Tourism,Daytime,Secondary education,111,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Armed Forces Professions,117,No,No,Yes,Female,No,20,6,8,5,10,0,0,6,9,4,11,0,-3,Un-Dropout,1
Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,133,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",115,Yes,No,Yes,Female,No,21,5,8,3,11,1,0,5,8,3,13,0,-1,Un-Dropout,1
Married,1st phase - general contingent,1,Management (evening attendance),Evening,Higher education - bachelor's degree,120,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Intermediate Level Technicians and Professions,129,No,No,Yes,Female,No,31,10,16,5,11,0,4,10,10,6,12,0,-3,Dropout,0
Single,1st phase - general contingent,1,Oral Hygiene,Daytime,Secondary education,135,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,125,No,No,Yes,Female,Yes,20,7,14,7,10,0,0,8,8,8,11,0,-1,Un-Dropout,1
Single,2nd phase - general contingent,5,Advertising and Marketing Management,Daytime,Secondary education,125,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,8th year of schooling,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",118,Yes,No,Yes,Female,Yes,19,5,8,3,10,0,0,5,6,4,11,1,0,Un-Dropout,1
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,147,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,142,Yes,No,Yes,Female,No,18,7,7,6,14,0,0,7,7,6,14,0,0,Un-Dropout,1
